battalion,hour,num_records,daily_avg
B99,23,24,0.065753425
B10,23,204,0.55890411
B09,23,150,0.410958904
B08,23,222,0.608219178
B07,23,137,0.375342466
B06,23,187,0.512328767
B05,23,233,0.638356164
B04,23,294,0.805479452
B03,23,339,0.928767123
B02,23,406,1.112328767
B01,23,332,0.909589041
B99,22,14,0.038356164
B10,22,303,0.830136986
B09,22,186,0.509589041
B08,22,294,0.805479452
B07,22,164,0.449315068
B06,22,245,0.671232877
B05,22,274,0.750684932
B04,22,351,0.961643836
B03,22,462,1.265753425
B02,22,509,1.394520548
B01,22,366,1.002739726
B99,21,36,0.098630137
B10,21,322,0.882191781
B09,21,220,0.602739726
B08,21,261,0.715068493
B07,21,151,0.41369863
B06,21,238,0.652054795
B05,21,261,0.715068493
B04,21,415,1.136986301
B03,21,485,1.328767123
B02,21,577,1.580821918
B01,21,411,1.126027397
B99,20,51,0.139726027
B10,20,340,0.931506849
B09,20,248,0.679452055
B08,20,260,0.712328767
B07,20,265,0.726027397
B06,20,302,0.82739726
B05,20,321,0.879452055
B04,20,451,1.235616438
B03,20,638,1.747945205
B02,20,581,1.591780822
B01,20,435,1.191780822
B99,19,27,0.073972603
B10,19,321,0.879452055
B09,19,253,0.693150685
B08,19,401,1.098630137
B07,19,330,0.904109589
B06,19,314,0.860273973
B05,19,356,0.975342466
B04,19,480,1.315068493
B03,19,634,1.736986301
B02,19,563,1.542465753
B01,19,505,1.383561644
B99,18,64,0.175342466
B10,18,353,0.967123288
B09,18,263,0.720547945
B08,18,398,1.090410959
B07,18,269,0.736986301
B06,18,403,1.104109589
B05,18,309,0.846575342
B04,18,554,1.517808219
B03,18,652,1.78630137
B02,18,657,1.8
B01,18,512,1.402739726
B99,17,103,0.282191781
B10,17,393,1.076712329
B09,17,250,0.684931507
B08,17,363,0.994520548
B07,17,260,0.712328767
B06,17,316,0.865753425
B05,17,300,0.821917808
B04,17,471,1.290410959
B03,17,596,1.632876712
B02,17,640,1.753424658
B01,17,446,1.221917808
B99,16,81,0.221917808
B10,16,345,0.945205479
B09,16,290,0.794520548
B08,16,358,0.980821918
B07,16,256,0.701369863
B06,16,307,0.84109589
B05,16,332,0.909589041
B04,16,427,1.169863014
B03,16,609,1.668493151
B02,16,587,1.608219178
B01,16,436,1.194520548
B99,15,32,0.087671233
B10,15,307,0.84109589
B09,15,237,0.649315068
B08,15,416,1.139726027
B07,15,220,0.602739726
B06,15,331,0.906849315
B05,15,293,0.802739726
B04,15,464,1.271232877
B03,15,491,1.345205479
B02,15,511,1.4
B01,15,420,1.150684932
B99,14,57,0.156164384
B10,14,313,0.857534247
B09,14,238,0.652054795
B08,14,391,1.071232877
B07,14,277,0.75890411
B06,14,274,0.750684932
B05,14,303,0.830136986
B04,14,382,1.046575342
B03,14,574,1.57260274
B02,14,521,1.42739726
B01,14,480,1.315068493
B99,13,73,0.2
B10,13,378,1.035616438
B09,13,349,0.956164384
B08,13,343,0.939726027
B07,13,241,0.660273973
B06,13,279,0.764383562
B05,13,356,0.975342466
B04,13,497,1.361643836
B03,13,597,1.635616438
B02,13,582,1.594520548
B01,13,429,1.175342466
B99,12,40,0.109589041
B10,12,352,0.964383562
B09,12,253,0.693150685
B08,12,371,1.016438356
B07,12,254,0.695890411
B06,12,298,0.816438356
B05,12,310,0.849315068
B04,12,458,1.254794521
B03,12,565,1.547945205
B02,12,562,1.539726027
B01,12,423,1.15890411
B99,11,50,0.136986301
B10,11,360,0.98630137
B09,11,239,0.654794521
B08,11,333,0.912328767
B07,11,225,0.616438356
B06,11,276,0.756164384
B05,11,260,0.712328767
B04,11,508,1.391780822
B03,11,551,1.509589041
B02,11,519,1.421917808
B01,11,387,1.060273973
B99,10,23,0.063013699
B10,10,309,0.846575342
B09,10,242,0.663013699
B08,10,343,0.939726027
B07,10,219,0.6
B06,10,265,0.726027397
B05,10,252,0.690410959
B04,10,366,1.002739726
B03,10,531,1.454794521
B02,10,494,1.353424658
B01,10,394,1.079452055
B99,9,46,0.126027397
B10,9,249,0.682191781
B09,9,256,0.701369863
B08,9,318,0.871232877
B07,9,212,0.580821918
B06,9,236,0.646575342
B05,9,270,0.739726027
B04,9,418,1.145205479
B03,9,500,1.369863014
B02,9,487,1.334246575
B01,9,387,1.060273973
B99,8,35,0.095890411
B10,8,337,0.923287671
B09,8,233,0.638356164
B08,8,273,0.747945205
B07,8,198,0.542465753
B06,8,248,0.679452055
B05,8,228,0.624657534
B04,8,334,0.915068493
B03,8,461,1.263013699
B02,8,417,1.142465753
B01,8,369,1.010958904
B99,7,23,0.063013699
B10,7,255,0.698630137
B09,7,163,0.446575342
B08,7,175,0.479452055
B07,7,159,0.435616438
B06,7,149,0.408219178
B05,7,170,0.465753425
B04,7,252,0.690410959
B03,7,370,1.01369863
B02,7,331,0.906849315
B01,7,308,0.843835616
B99,6,12,0.032876712
B10,6,204,0.55890411
B09,6,117,0.320547945
B08,6,120,0.328767123
B07,6,99,0.271232877
B06,6,95,0.260273973
B05,6,108,0.295890411
B04,6,204,0.55890411
B03,6,319,0.873972603
B02,6,320,0.876712329
B01,6,234,0.64109589
B99,5,3,0.008219178
B10,5,143,0.391780822
B09,5,88,0.24109589
B08,5,111,0.304109589
B07,5,81,0.221917808
B06,5,100,0.273972603
B05,5,121,0.331506849
B04,5,189,0.517808219
B03,5,279,0.764383562
B02,5,239,0.654794521
B01,5,198,0.542465753
B99,4,14,0.038356164
B10,4,208,0.569863014
B09,4,79,0.216438356
B08,4,100,0.273972603
B07,4,67,0.183561644
B06,4,82,0.224657534
B05,4,116,0.317808219
B04,4,170,0.465753425
B03,4,244,0.668493151
B02,4,252,0.690410959
B01,4,155,0.424657534
B99,3,14,0.038356164
B10,3,172,0.471232877
B09,3,73,0.2
B08,3,127,0.347945205
B07,3,79,0.216438356
B06,3,84,0.230136986
B05,3,141,0.38630137
B04,3,221,0.605479452
B03,3,268,0.734246575
B02,3,333,0.912328767
B01,3,216,0.591780822
B99,2,13,0.035616438
B10,2,187,0.512328767
B09,2,112,0.306849315
B08,2,85,0.232876712
B07,2,70,0.191780822
B06,2,96,0.263013699
B05,2,144,0.394520548
B04,2,192,0.526027397
B03,2,290,0.794520548
B02,2,350,0.95890411
B01,2,213,0.583561644
B99,1,9,0.024657534
B10,1,194,0.531506849
B09,1,98,0.268493151
B08,1,125,0.342465753
B07,1,97,0.265753425
B06,1,211,0.578082192
B05,1,186,0.509589041
B04,1,204,0.55890411
B03,1,287,0.78630137
B02,1,343,0.939726027
B01,1,187,0.512328767
B99,0,24,0.065753425
B10,0,154,0.421917808
B09,0,222,0.608219178
B08,0,163,0.446575342
B07,0,121,0.331506849
B06,0,138,0.378082192
B05,0,194,0.531506849
B04,0,286,0.783561644
B03,0,373,1.021917808
B02,0,401,1.098630137
B01,0,266,0.728767123
